Date,Open,High,Low,Close,Volume
2024-09-11,57640.225,57752.1329,56094.1884,56688.1953,23650.0
2024-09-10,57037.3262,58045.4404,56388.03,57638.7039,71921.0
2024-09-09,54870.9152,58101.1422,54591.234,57038.971,84411.0
2024-09-08,54160.9171,55317.9073,53629.1251,54871.9134,45606.0
2024-09-07,53961.9461,54850.0469,53746.801,54160.7799,53796.0
2024-09-06,56178.898,57016.3589,52545.3851,53961.8674,127330.0
2024-09-05,57970.984,58329.0632,55637.6632,56178.4916,80380.0
2024-09-04,57484.8206,58521.2739,55596.2877,57970.4855,91768.0
2024-09-03,59135.6245,59813.0789,57409.5449,57485.8402,77798.0
2024-09-02,57292.7008,59427.3534,57126.3342,59135.4782,87067.0
2024-09-01,58971.2977,59077.6452,57191.9327,57300.6889,75965.0
2024-08-31,59125.2956,59461.3862,58740.9681,58973.4197,35596.0
2024-08-30,59355.2982,59943.451,57704.2317,59125.6362,87917.0
2024-08-29,59036.7683,61168.2156,58764.4343,59357.1374,88117.0
2024-08-28,59414.4301,60236.0736,57843.863,59036.5116,106588.0
2024-08-27,62829.003,63212.408,58007.2569,59412.843,113641.0
2024-08-26,64220.8458,64479.9613,62800.3686,62834.3373,78478.0
2024-08-25,64154.0482,65012.8493,63779.2614,64222.2297,50164.0
2024-08-24,64043.2947,64495.3535,63541.5542,64155.3138,57755.0
2024-08-23,60382.6309,64968.3334,60343.1818,64040.736,104103.0
2024-08-22,61156.9871,61405.3003,59713.7427,60380.4414,73796.0
2024-08-21,59009.2163,61819.3097,58779.9805,61152.4229,83687.0
2024-08-20,59439.8459,61408.8616,58538.4165,59012.3998,90278.0
2024-08-19,58431.012,59611.3173,57798.7226,59440.6748,72743.0
2024-08-18,59496.0357,60282.059,58416.2358,58430.9343,54317.0
2024-08-17,58877.5589,59707.9741,58794.869,59495.0738,43701.0
2024-08-16,57538.8688,59819.6519,57102.265,58876.1867,85784.0
2024-08-15,58683.3585,59850.1137,56170.3228,57541.7659,105006.0
2024-08-14,60586.1155,61819.2658,58434.8161,58684.8962,90756.0
2024-08-13,59347.9853,61574.6747,58405.3214,60584.9496,86785.0
2024-08-12,58716.9405,60708.3025,57642.1199,59347.377,97435.0
2024-08-11,60923.3006,61869.495,58294.1704,58718.6121,69275.0
2024-08-10,60841.7416,61477.6567,60243.9146,60923.3772,48474.0
2024-08-09,61687.1412,61748.6773,59531.0314,60838.3735,78704.0
2024-08-08,55135.6232,62739.9367,54736.4742,61686.9628,107294.0
2024-08-07,56018.885,57734.4374,54557.0286,55136.3658,100849.0
2024-08-06,54018.7223,57052.5319,53950.8428,56022.6451,123948.0
2024-08-05,58162.29,58306.0287,49060.4303,54017.9743,330610.0
2024-08-04,60702.5615,61119.2769,57142.3384,58161.1806,79631.0
2024-08-03,61495.4772,62196.9328,59847.9781,60703.3461,79362.0
2024-08-02,65356.2108,65591.8048,61228.4227,61495.7115,104556.0
2024-08-01,64629.362,65657.5938,62291.5744,65356.7353,96061.0
2024-07-31,66189.2672,66846.2804,64522.8357,64630.4788,63080.0
2024-07-30,66782.0484,66999.1758,65305.0747,66189.7186,64723.0
2024-07-29,68246.1437,70069.9577,66414.6236,66785.5935,88425.0
2024-07-28,67897.493,68325.1848,67065.1113,68245.2464,35777.0
2024-07-27,67908.1042,69403.632,66651.0932,67896.7183,72959.0
2024-07-26,65800.4051,68206.139,65720.117,67906.8269,65294.0
2024-07-25,65375.3508,66173.3246,63457.1118,65800.6747,84122.0
2024-07-24,65936.9125,67102.7891,65101.5799,65376.1208,59349.0
2024-07-23,67528.4219,67747.8601,65438.9777,65937.1602,79023.0
2024-07-22,68167.5029,68478.3025,66548.0739,67529.0839,59923.0
2024-07-21,67136.7327,68368.4304,65774.8262,68166.0933,55356.0
2024-07-20,66662.7033,67602.5113,66229.6463,67135.2971,36173.0
2024-07-19,63989.7348,67390.2578,63301.2266,66660.1913,78859.0
2024-07-18,64088.6855,65127.0631,63237.1158,63989.6754,58329.0
2024-07-17,65043.8918,66122.5935,63855.7041,64090.2934,70133.0
2024-07-16,64721.6077,65365.1498,62380.3709,65043.2918,94813.0
2024-07-15,60793.6912,64903.4281,60641.3469,64722.831,90605.0
2024-07-14,59202.2003,61424.9374,59194.1332,60791.9492,54181.0
2024-07-13,57885.1789,59851.7919,57755.5981,59204.0394,41445.0
2024-07-12,57339.4186,58522.693,56543.6722,57890.3521,61850.0
2024-07-11,57727.9047,59607.2818,57050.9867,57340.2943,67852.0
2024-07-10,58047.3253,59469.5974,57160.029,57728.6773,62758.0
2024-07-09,56713.5379,58294.5289,56290.1346,58047.2394,67790.0
2024-07-08,55855.2642,58206.8704,54270.8959,56714.6788,98856.0
2024-07-07,58233.312,58448.5729,55726.5886,55860.6553,53134.0
2024-07-06,56628.0577,58476.1717,56020.1486,58233.2614,54004.0
2024-07-05,57049.7931,57545.4247,53447.7074,56631.5583,148067.0
2024-07-04,60210.75,60498.6254,56766.7776,57051.3157,113828.0
2024-07-03,62136.1427,62286.321,59396.3576,60210.6015,74026.0
2024-07-02,62897.8537,63286.5966,61810.6767,62133.7575,46903.0
2024-07-01,62773.071,63860.4642,62510.7694,62899.1448,61774.0
2024-06-30,60985.0778,63060.1113,60713.2335,62772.157,40770.0
2024-06-29,60430.593,61223.5679,60396.8862,60984.6852,28323.0
2024-06-28,61702.055,62226.5352,60053.1978,60430.7319,65078.0
2024-06-27,60862.0496,62391.7467,60609.8602,61702.5254,51049.0
2024-06-26,61805.3339,62487.8979,60710.7414,60862.294,52363.0
2024-06-25,60296.2253,62399.1188,60256.165,61805.7495,70218.0
2024-06-24,63209.7549,63369.101,58401.2209,60294.6318,118132.0
2024-06-23,64261.3292,64521.0653,63168.2913,63209.6607,23018.0
2024-06-22,64143.2139,64538.8547,63940.7827,64260.5651,18353.0
2024-06-21,64873.5382,65070.5317,63379.3034,64142.2312,62552.0
2024-06-20,64969.7682,66483.4122,64557.4453,64872.2744,56521.0
2024-06-19,65174.8825,65727.6791,64666.8626,64970.3465,49146.0
2024-06-18,66496.4591,66587.8807,64056.4609,65175.4104,96501.0
2024-06-17,66676.773,67298.9748,65130.5177,66496.8726,73675.0
2024-06-16,66226.0534,66986.0727,66036.1124,66677.1199,28174.0
2024-06-15,66045.3209,66477.5737,65855.7701,66225.9106,28907.0
2024-06-14,66774.822,67367.4056,65067.6828,66045.195,72068.0
2024-06-13,68262.6425,68458.9995,66262.5154,66773.8276,83046.0
2024-06-12,67314.3424,70001.2367,66903.6486,68262.8175,92471.0
2024-06-11,69534.6685,69585.0933,66051.9236,67314.5308,106868.0
2024-06-10,69643.4173,70188.1808,69174.6198,69536.2211,52511.0
2024-06-09,69312.0726,69850.9291,69134.7872,69642.3442,31354.0
2024-06-08,69353.8736,69583.6411,69170.018,69310.5438,27837.0
2024-06-07,70797.9967,71992.7441,68431.9595,69355.8017,78054.0
2024-06-06,71108.2095,71673.3237,70115.1015,70797.8454,52102.0
2024-06-05,70541.7987,71759.647,70383.2042,71107.2576,63211.0
2024-06-04,68808.2024,71065.0082,68575.5317,70538.8788,66373.0
2024-06-03,67766.3905,70284.4562,67611.6507,68810.3753,69139.0
2024-06-02,67764.9054,68461.4237,67270.3258,67766.8369,36152.0
2024-06-01,67539.7003,67890.1594,67433.381,67765.1033,23349.0
2024-05-31,68354.458,69044.8426,66666.6692,67540.9341,57644.0
2024-05-30,67651.1381,69501.2853,67129.2449,68354.6154,69946.0
2024-05-29,68401.7082,68932.9184,67130.819,67651.4368,60011.0
2024-05-28,69433.0335,69591.7043,67282.3056,68400.7947,70777.0
2024-05-27,68508.098,70689.2194,68255.1981,69433.3004,56323.0
2024-05-26,69289.8063,69555.2778,68144.9463,68508.4447,28722.0
2024-05-25,68552.4374,69610.3015,68500.7765,69289.351,27950.0
2024-05-24,67968.0378,69249.406,66607.5817,68553.6362,60199.0
2024-05-23,69198.5075,70092.6827,66303.2565,67971.9753,87301.0
2024-05-22,70154.2539,70665.1482,68876.0263,69172.3445,65884.0
2024-05-21,71437.6254,71973.8884,69160.1527,70147.9746,95711.0
2024-05-20,66272.0654,71531.8769,66061.696,71436.5556,100306.0
